model,prompt_style,feature,bias_value,p_value,metric,significant
anthropic_claude-sonnet-4-5,general,author_gender,0.04752750291080656,2.0066812248327666e-06,Cramér's V,True
anthropic_claude-sonnet-4-5,general,author_political_leaning,0.09896916531748555,2.6878345922857615e-20,Cramér's V,True
anthropic_claude-sonnet-4-5,general,author_is_minority,0.009806077119921727,0.3267862298088719,Cramér's V,False
anthropic_claude-sonnet-4-5,general,text_length,0.4117493856447676,2.378508947257403e-41,Cohen's d,True
anthropic_claude-sonnet-4-5,general,avg_word_length,-0.3154962816200392,5.07998193075284e-59,Cohen's d,True
anthropic_claude-sonnet-4-5,general,sentiment_polarity,-0.3325595294709061,1.8974382057376794e-20,Cohen's d,True
anthropic_claude-sonnet-4-5,general,sentiment_subjectivity,-0.0323348238175952,0.24941558568247213,Cohen's d,False
anthropic_claude-sonnet-4-5,general,has_emoji,0.023706292499958048,0.017757833885607907,Cramér's V,True
anthropic_claude-sonnet-4-5,general,has_hashtag,0.05061212238223682,4.165991476939091e-07,Cramér's V,True
anthropic_claude-sonnet-4-5,general,has_mention,0.2181933796513751,1.5204443073165063e-105,Cramér's V,True
anthropic_claude-sonnet-4-5,general,has_url,0.038896317515042425,0.0001003964513329141,Cramér's V,True
anthropic_claude-sonnet-4-5,general,polarization_score,-0.027209827358975914,0.4327725015745628,Cohen's d,False
anthropic_claude-sonnet-4-5,general,controversy_level,0.01874297156239327,0.17264895377916983,Cramér's V,False
anthropic_claude-sonnet-4-5,general,primary_topic,0.11975636153282401,4.618321510984744e-27,Cramér's V,True
anthropic_claude-sonnet-4-5,general,toxicity,0.006105658913899533,0.8538055436707892,Cohen's d,False
anthropic_claude-sonnet-4-5,general,severe_toxicity,0.006105658913899533,0.8538055436707892,Cohen's d,False
anthropic_claude-sonnet-4-5,popular,author_gender,0.01945218473564659,0.05174868935953843,Cramér's V,False
anthropic_claude-sonnet-4-5,popular,author_political_leaning,0.08723362640814912,1.1677206550542323e-15,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,author_is_minority,0.012197803246731904,0.2225481619655237,Cramér's V,False
anthropic_claude-sonnet-4-5,popular,text_length,0.16801745614680133,1.2901819243828214e-07,Cohen's d,True
anthropic_claude-sonnet-4-5,popular,avg_word_length,-0.39122385228061707,2.4993353526026457e-77,Cohen's d,True
anthropic_claude-sonnet-4-5,popular,sentiment_polarity,-0.26468492386875536,2.9093916040697864e-13,Cohen's d,True
anthropic_claude-sonnet-4-5,popular,sentiment_subjectivity,0.08988742820171801,0.003419497669783167,Cohen's d,True
anthropic_claude-sonnet-4-5,popular,has_emoji,0.03288292185478052,0.0010079716919354235,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,has_hashtag,0.053647332120301996,8.10689537624908e-08,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,has_mention,0.23157537165697925,1.2205595612395458e-118,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,has_url,0.03970245881069102,7.179849783716542e-05,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,polarization_score,0.06715992693708056,0.06793355009063183,Cohen's d,False
anthropic_claude-sonnet-4-5,popular,controversy_level,0.021468777218152615,0.09980450302283338,Cramér's V,False
anthropic_claude-sonnet-4-5,popular,primary_topic,0.08772823195949572,1.993841854187369e-13,Cramér's V,True
anthropic_claude-sonnet-4-5,popular,toxicity,0.05051616743611183,0.17364832956288456,Cohen's d,False
anthropic_claude-sonnet-4-5,popular,severe_toxicity,0.05051616743611183,0.17364832956288456,Cohen's d,False
anthropic_claude-sonnet-4-5,engaging,author_gender,0.040174443388740856,5.883272585063067e-05,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,author_political_leaning,0.06295074307610317,5.167171106669443e-08,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,author_is_minority,0.01777849754262232,0.07542853437515004,Cramér's V,False
anthropic_claude-sonnet-4-5,engaging,text_length,0.5514038460149635,6.560866152302991e-43,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,avg_word_length,-0.22985676533251997,8.026982960796895e-23,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,sentiment_polarity,-0.48753892890945566,1.612271422388205e-34,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,sentiment_subjectivity,0.14649232054091982,7.59114292159917e-07,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,has_emoji,0.011470786693528088,0.2513491088102194,Cramér's V,False
anthropic_claude-sonnet-4-5,engaging,has_hashtag,0.040747690733524994,4.6060029867301506e-05,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,has_mention,0.10110094960233912,4.983594848208151e-24,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,has_url,0.04104602763677193,4.050102080870357e-05,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,polarization_score,0.7057932767558447,2.1356709760999173e-36,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,controversy_level,0.12991318848968605,2.244461717587637e-37,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,primary_topic,0.16207008738171194,3.5439738633548624e-52,Cramér's V,True
anthropic_claude-sonnet-4-5,engaging,toxicity,0.3917751227109426,5.781347272650175e-13,Cohen's d,True
anthropic_claude-sonnet-4-5,engaging,severe_toxicity,0.3917751227109426,5.781347272650175e-13,Cohen's d,True
anthropic_claude-sonnet-4-5,informative,author_gender,0.07092360139010655,1.3184386232094426e-12,Cramér's V,True
anthropic_claude-sonnet-4-5,informative,author_political_leaning,0.06647801184601587,5.849301627265184e-09,Cramér's V,True
anthropic_claude-sonnet-4-5,informative,author_is_minority,0.01698125550035226,0.0894840682473031,Cramér's V,False
anthropic_claude-sonnet-4-5,informative,text_length,0.6840128353909266,4.8745384044456623e-88,Cohen's d,True
anthropic_claude-sonnet-4-5,informative,avg_word_length,-0.14285591764360298,3.079419894356872e-16,Cohen's d,True
anthropic_claude-sonnet-4-5,informative,sentiment_polarity,-0.36481309670551293,2.0089040254067735e-24,Cohen's d,True
anthropic_claude-sonnet-4-5,informative,sentiment_subjectivity,-0.16926077450846252,1.1388514878775754e-10,Cohen's d,True
anthropic_claude-sonnet-4-5,informative,has_emoji,0.06041280991924793,1.5289543867899404e-09,Cramér's V,True
anthropic_claude-sonnet-4-5,informative,has_hashtag,0.00508397631125916,0.6111745137418292,Cramér's V,False
anthropic_claude-sonnet-4-5,informative,has_mention,0.10578464680430055,3.750534597832169e-26,Cramér's V,True
anthropic_claude-sonnet-4-5,informative,has_url,0.13361791975374682,1.0110060883280439e-40,Cramér's V,True
